,means_per_cluster_mu_fg_ADM,means_per_cluster_mu_fg_B-cells,means_per_cluster_mu_fg_Ductal-like1,means_per_cluster_mu_fg_Ductal-like2,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblasts,means_per_cluster_mu_fg_Islets,means_per_cluster_mu_fg_Low quality,means_per_cluster_mu_fg_Macrophages,means_per_cluster_mu_fg_Mast,means_per_cluster_mu_fg_Other_doublets,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T-cells,means_per_cluster_mu_fg_Tumor
MIR1302-2HG,0.92204887,0.9612587,1.0376662,0.8490607,1.1116294,1.1574845,0.8578252,0.83222246,0.8824506,0.95054436,0.99978644,0.8084966,0.696311,0.91532075
FAM138A,0.8554032,1.0361485,1.182656,1.1197158,1.1786318,0.89280105,0.94619066,0.9620915,0.9272959,1.0938854,0.79621094,1.0617458,0.66332567,0.73576385
OR4F5,0.9622233,0.99074,1.0179265,0.96616375,0.93235785,0.6756211,0.95378923,0.9542573,0.6764689,0.8690288,0.80541575,0.8769669,0.99909496,0.72168463
AL627309.1,0.98292404,0.38509423,0.7037188,0.21425556,0.6603745,0.027142357,0.7113684,0.25670323,0.041553374,0.32844222,0.834228,0.060545027,0.008446265,0.052497815
AL627309.3,0.7743111,0.88249415,1.2390561,1.0644243,0.81888044,0.7681054,0.59330606,1.0448054,0.7743168,0.8942576,0.9492859,0.8866574,0.7343639,0.7007111
AL627309.2,1.0044353,0.90690297,0.88203514,0.94980437,0.95965475,0.570784,0.9743186,1.1203202,0.83242685,0.9985554,1.0093443,0.85113484,0.9032506,0.8181121
AL627309.5,0.84168637,0.14115441,1.0112575,0.48914796,0.52869755,0.111320935,0.12953886,0.11858243,0.1567123,0.38096926,0.73867804,0.041062392,0.056994624,0.45076627
AL627309.4,1.0421441,1.0471063,0.8763559,1.0556067,1.0593961,0.82858104,0.8326669,0.9054043,0.5834911,1.0714422,0.8549738,0.89014,0.3176846,0.41679102
AP006222.2,0.95856893,0.89630204,0.78799164,1.02623,0.9604656,0.80775356,0.9539643,0.8572134,0.55494064,0.8909966,1.0466568,0.9024413,0.7310135,0.54525936
AL732372.1,0.7705827,1.0423651,0.97303665,0.8935126,0.77859807,1.0450503,0.8733707,1.0187261,0.68349147,0.7995534,0.8716363,1.0515977,0.48950925,0.7991346
OR4F29,0.9682344,0.75895953,0.9136184,1.079841,1.0821366,0.93118507,0.879969,0.8456655,0.78492373,0.9382065,0.7908517,1.0069926,0.64871037,1.0690919
AC114498.1,0.90872145,0.7887003,1.0234445,1.2882588,0.9337698,0.8769345,0.80522865,1.1753541,0.5945791,0.7300932,0.96273535,0.8385875,0.7800938,0.52973735
OR4F16,1.0955063,0.91899884,1.0178231,1.2598563,0.9072232,0.60861075,1.0611962,1.1156884,0.7138242,0.8759674,0.9942991,0.7532266,0.83965343,0.7923669
AL669831.2,0.8753499,0.7748785,0.8695391,0.75982505,1.1553017,0.9644805,0.8762977,1.3776289,0.6789714,1.1586316,0.90321547,0.63878906,0.9254654,0.51594746
LINC01409,1.1014904,0.6711505,0.62205637,0.80487293,0.9793702,0.30639896,0.24045523,0.12088363,0.28446114,0.1497152,0.60059977,0.2383591,0.09427939,0.83408874
FAM87B,0.7602483,0.79776925,0.9420198,0.88516134,1.0420583,0.91336125,0.7471,1.2097194,0.71175015,0.8331706,0.90966874,0.94139516,0.39270884,0.59642315
LINC01128,0.75912935,0.1971679,0.41258523,0.104761235,0.6465117,0.18390086,1.4352094,0.24736603,0.4691276,0.15773606,0.7056584,0.13517785,0.08559176,0.48477527
LINC00115,0.87173945,0.15371716,0.34006608,0.3156267,0.54225516,0.035268452,0.115206845,0.10264518,0.043163616,0.15868118,0.65673655,0.07867671,0.03550925,0.17637216
FAM41C,0.82977486,0.52639085,0.6353471,0.39631984,0.9431393,0.04302659,0.34622192,0.3614965,0.06959527,0.42330623,0.93703514,0.03553322,0.008200355,0.07002412
AL645608.6,0.8253673,1.0503318,0.70257896,0.88412595,0.97033906,0.68817455,1.1645463,0.7772317,0.6752305,0.9000809,0.97916377,0.9474055,0.7622116,0.5288678
AL645608.2,0.7684967,0.9991963,0.827056,0.89714587,1.0344031,0.793119,0.89205396,0.7429658,0.6385999,0.78056747,0.83602804,0.87012833,0.8332045,0.73364854
AL645608.4,0.9713114,1.0265671,0.96679765,0.7048911,1.0340827,0.8050655,0.74209625,0.9423379,0.7843238,1.0403503,1.0771779,1.2023885,0.5736785,0.52430594
LINC02593,0.84495306,0.28840995,0.46221724,0.17620209,0.7486502,0.23685619,0.20210226,0.19644272,0.007792408,0.25516614,0.89193857,0.027561814,0.0041281544,0.016032508
SAMD11,0.74269164,0.15548256,0.40983227,0.22255819,0.61266756,0.95263445,0.33137983,0.09538274,0.032370094,0.13243295,0.63639593,0.17233694,0.0073657604,0.04495071
NOC2L,0.78080505,0.18479285,0.3626813,0.7713001,0.60525906,0.19805145,0.3938683,0.26001042,0.22297452,0.251399,0.6508854,0.37940395,0.13141635,1.1704898
KLHL17,0.7956449,0.17519587,0.6696338,0.10815969,0.64171326,0.16777894,0.26703924,0.40238383,0.12948547,0.14730541,0.6361915,0.23640952,0.07340481,0.24577656
PLEKHN1,0.91908485,0.15533434,0.3731576,0.23477955,0.5769165,0.036177576,0.43137792,0.10807646,0.02561636,0.26510605,0.5750495,0.46078867,0.05458896,0.96669453
PERM1,0.7150741,0.799718,0.62316275,0.5283101,0.93313116,0.07992472,0.7503752,0.54116887,0.010666185,0.633085,0.9291141,0.08464644,0.006239432,0.07390918
AL645608.7,0.77683604,0.86597586,0.7806946,0.6665849,0.9617477,0.5246069,0.8633713,0.85621065,0.122121535,0.7364617,1.1266063,0.7175631,0.018006163,0.13454995
HES4,0.8658839,0.24667166,0.8290611,0.5056697,0.6244881,0.6939092,0.17190611,0.25391477,0.028424844,0.3423569,0.7552001,0.016673295,0.016017368,0.25561202
ISG15,0.8701734,0.67872995,0.7732182,0.42638564,0.9547203,0.15299088,0.49411505,0.44978914,0.09228442,0.3525782,0.8080119,0.06705501,0.07688731,0.12174233
AL645608.1,0.8741293,0.89758897,0.8954246,1.1129918,0.8289984,1.1096122,1.2383786,0.88487,0.68931353,1.0123063,0.9603336,0.9651103,0.5546917,0.6609893
AGRN,0.74373037,0.18201852,0.69879776,0.46704048,0.93654776,0.12458091,0.21056147,0.31974056,0.099235915,0.14420843,1.1594603,0.019263247,0.025592254,1.1185803
AL645608.5,0.82746893,0.8525039,0.9860754,0.8217256,0.8591304,0.8021738,0.8076667,0.98538625,0.83861846,0.82866436,0.8339255,0.90462494,0.69396454,1.2175772
AL645608.8,1.0859056,0.7116088,0.91554886,1.1230052,0.74145496,1.0548288,1.0893564,0.7740589,0.81061655,0.90060717,0.76587903,0.6579499,0.84044737,1.227885
RNF223,0.8712438,0.7743687,1.1030858,0.913677,0.92917407,0.9931615,0.7674109,1.0205014,0.5773039,1.0678749,0.7493396,0.8619884,0.5549765,0.55227566
C1orf159,0.8409811,0.48373955,1.6162153,0.45165908,0.5143152,0.4135346,0.8788591,0.35896763,0.471953,0.4218955,0.6479184,0.42351618,0.22454815,0.932853
AL390719.3,0.8460968,0.6120699,0.7793549,0.39773363,0.8478751,0.07330987,0.3535851,0.3444219,0.053013265,0.3907764,0.91868335,0.035652127,0.0041680303,0.14096862
LINC01342,0.8867875,0.15849076,0.28113374,0.3136295,0.5784082,0.021211807,0.1256497,0.095904075,0.014886885,0.13523637,0.5868632,0.022090666,0.008657894,0.49115637
AL390719.2,0.7259911,0.11951632,1.2344213,0.9561032,0.409456,0.058584332,0.46130726,0.093113676,0.022055777,0.16628139,0.62506753,0.055209078,0.03285688,1.7097249
TTLL10-AS1,1.0593803,0.7809051,0.8426583,0.7139545,0.72004855,0.0633754,0.68319225,0.73112595,0.01503604,0.8665785,0.91973907,0.10191254,0.006051083,0.089268215
TTLL10,0.92255646,0.25555912,0.50880015,0.13617122,0.8533163,0.016726447,0.17283507,0.48851,0.006545924,0.17459019,0.6925788,0.029648365,0.007338093,0.36769372
TNFRSF18,0.945981,0.36721462,0.69697654,0.22292519,0.9734748,0.07209288,0.5683214,0.3221144,0.034806658,0.37484643,0.73833454,0.2507882,0.237152,0.029436132
TNFRSF4,0.9906818,0.37146953,0.8698294,0.23406999,1.1217988,0.06426434,0.27023482,0.34262365,0.102463365,0.28273904,0.72922266,0.22040743,0.26746702,0.023772499
SDF4,0.8021268,0.2598618,0.35142162,0.19299033,0.36621585,0.4412879,0.9292559,0.5987146,0.39068264,0.4170104,1.0966039,0.6151532,0.29326758,1.082024
B3GALT6,1.0071297,0.2912473,0.60273886,0.14641467,0.7589159,0.019635674,0.20688951,0.14556077,0.04707275,0.24561562,0.7656272,0.072152205,0.03209953,0.14476433
C1QTNF12,1.1376288,0.607056,0.79243284,0.57032764,1.1362826,0.06632604,0.52587926,0.5284804,0.01219018,0.70560646,0.9193355,0.049665503,0.008892738,0.11665672
AL162741.1,0.9706463,0.93374914,0.89425516,0.70428306,1.0015469,0.9681711,0.82540226,1.0011959,0.87610173,0.8785047,0.9642946,0.9643497,0.62172735,0.5939707
UBE2J2,0.6066166,0.41875082,1.2849772,1.0246344,0.46213245,0.39446867,1.3812324,0.5196842,0.5254636,0.23278067,0.7666515,0.40074688,0.3044322,1.153019
LINC01786,1.0633202,0.5837032,0.7276445,0.5955201,0.89495367,0.1315709,0.37811714,0.48914278,0.039213702,0.40279478,0.9244113,0.08626162,0.023137264,0.05165603
SCNN1D,0.97109586,0.27408004,0.59740996,0.26142135,0.77369374,0.09835982,0.2877594,0.18119834,0.052424453,0.21388012,0.6480307,0.07914996,0.03201402,0.054596476
ACAP3,0.8870773,0.18924446,1.008417,0.74830633,0.5102701,0.41743457,2.6514919,0.31078938,0.2484865,0.10472905,0.65879977,0.8280889,0.12828575,0.4007666
PUSL1,0.8734472,0.4792414,0.7762442,0.33074492,0.65019304,0.1194767,0.4313847,0.45767584,0.04468208,0.36628896,0.8391056,0.09298501,0.027463907,0.051533464
INTS11,0.87788475,0.14631289,0.5996834,0.21152854,0.4344621,0.3361208,0.4504789,0.57412887,0.23901907,0.23512284,0.73629373,0.5806824,0.15943061,0.953395
