,means_per_cluster_mu_fg_Adipocyte,means_per_cluster_mu_fg_B,means_per_cluster_mu_fg_Basal,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblast,means_per_cluster_mu_fg_LumHR,means_per_cluster_mu_fg_LumSec,means_per_cluster_mu_fg_Macrophage,means_per_cluster_mu_fg_Pericyte,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T,means_per_cluster_mu_fg_Tumor,means_per_cluster_mu_fg_pDC
SAMD11,0.10785088,0.15812321,0.44973475,0.043632075,0.2144741,0.41308317,0.15116149,0.009341457,0.2712055,0.1082303,0.023703864,0.08712713,0.5512574
NOC2L,0.2688167,0.063276105,0.2968452,0.16169958,0.17570752,0.57485485,0.11450412,0.122852504,0.15157345,0.18036762,0.075653926,0.49963126,0.70687133
KLHL17,0.33021945,0.08324919,0.48897415,0.036189843,0.07077954,0.577325,0.15496676,0.015239493,0.22487704,0.08783714,0.01897723,0.08360767,1.2175416
PLEKHN1,0.09359029,0.14968975,0.35631868,0.1170313,0.059497405,0.437411,0.12830004,0.020993378,0.25575405,0.09590244,0.050420843,0.19549495,1.074415
PERM1,0.4048074,0.21853723,0.7761506,0.14444695,0.003605342,0.75524604,0.5976968,0.0042050327,0.8268637,0.17067401,0.046681598,0.0344758,0.74752
HES4,0.19553012,0.06195575,0.47272295,0.436673,0.5545558,0.35777798,1.5324299,0.054339178,0.8241496,0.07486655,0.016873008,0.6996732,0.506849
ISG15,0.27954516,0.07690235,0.47597095,0.44863638,0.26193026,0.5184259,0.5047323,0.13287634,0.53383654,0.28496632,0.060785417,0.4729419,0.7974752
AGRN,0.45702803,0.073610246,0.28731617,0.48308456,0.35664758,0.3975692,0.08687821,0.09152525,0.5465183,0.34692168,0.070568435,1.7389804,0.5314202
RNF223,0.39823967,0.21412686,0.5706744,0.15881011,0.007690395,0.58950603,0.5553421,0.005846075,0.6615634,0.16497247,0.043613285,0.059221826,0.889563
C1orf159,0.17414105,0.29402766,0.32918346,0.21893884,0.33184364,0.41222507,0.65649915,0.22945353,0.38856438,0.116805635,0.10970067,1.2844489,0.6461378
TTLL10,0.3715099,0.1954291,0.6084766,0.05023458,0.0055984044,0.6211309,0.6537145,0.009180024,0.45516583,0.085295826,0.021606924,0.2356833,0.8353986
TNFRSF18,0.15996191,0.12289263,0.46379685,0.13175973,0.05060833,0.49532184,0.23732115,0.032929406,0.47820142,0.30269027,0.310785,0.057100948,0.93313515
TNFRSF4,0.30161852,0.23498632,0.69268346,0.58364606,0.08327428,0.47768795,0.42931476,0.032242324,0.64478534,0.27833003,0.1971094,0.016550725,1.2545283
SDF4,0.5751908,0.053982537,0.73545843,0.69184226,0.51488066,0.43699908,0.1258835,0.22316243,0.38865992,0.4840291,0.23075682,0.8575025,0.68532014
B3GALT6,0.07235493,0.058862332,0.333495,0.2782322,0.107332826,0.33173215,0.11528903,0.036754757,0.16453396,0.16552971,0.051410343,0.24550043,0.5719078
C1QTNF12,0.9960913,0.7419166,1.0946797,0.5384228,0.10077907,0.66105837,0.9017406,0.08055629,0.7823796,0.82146263,0.4643191,0.01850196,0.7873007
UBE2J2,0.35084325,0.13872142,0.28718665,0.34176636,0.35874102,0.28694427,0.46802616,0.27847844,0.32691443,0.2753246,0.15699798,0.6069195,0.69748753
SCNN1D,0.10805609,0.064078405,0.36065444,0.043762147,0.036499046,0.29406187,0.1355377,0.011900628,0.15643093,0.08608362,0.02135339,0.05290225,0.70773524
ACAP3,0.1947575,0.13602476,0.29970574,0.23449606,0.20309359,0.3179243,0.20324184,0.061353043,0.1610761,0.079722464,0.085198954,0.19041055,0.69144905
PUSL1,0.27151886,0.09031421,0.51974577,0.08094439,0.039382685,0.51315355,0.2025389,0.012484357,0.44122413,0.05008646,0.022252245,0.054706063,0.84884155
INTS11,0.36519653,0.13003857,0.6637625,0.48103702,0.20345221,0.28257486,0.105756536,0.12031891,0.18868311,0.13761497,0.08186983,0.48505628,0.57785016
CPTP,0.1016317,0.07489389,0.3700283,0.09676052,0.03827043,0.34438953,0.13774592,0.030245878,0.19146791,0.043512985,0.022587776,0.13810737,0.7011975
TAS1R3,0.9556514,0.741666,1.127251,0.6119663,0.19559607,0.8630005,0.95681435,0.23227425,0.82324874,0.8037627,0.5623453,0.09198002,0.9212721
DVL1,0.10115616,0.13815977,0.37994358,0.18048862,0.11643558,0.33705068,0.094989754,0.044287913,0.23053433,0.122668035,0.06077037,0.27106857,1.1634184
MXRA8,0.37545446,0.11928641,0.37590733,0.13369551,1.2918755,0.32587376,0.13045128,0.05936995,0.30779073,0.041995652,0.015882405,0.14622828,0.75726277
AURKAIP1,0.4286687,0.1280408,0.79388607,0.3325909,0.22827962,0.897736,0.121071875,0.08568153,0.70528895,0.2272746,0.16990644,0.77772915,0.87840205
CCNL2,1.4334627,0.6645904,0.26138029,1.7250746,1.5932722,1.1451931,1.3255591,0.56613135,0.67590505,0.9196768,0.59857714,1.7830232,0.5331653
ANKRD65,0.3513468,0.107770145,0.79983884,0.14782181,0.0340438,0.5020474,0.19445129,0.008721172,0.36124265,0.07495742,0.020787092,0.011754302,0.7680317
TMEM88B,1.0420185,0.8934207,0.78234947,0.9815041,0.57967585,0.7430179,1.1993927,0.71851003,0.54276425,0.58430135,0.74586433,0.22950016,0.82697797
